version,shape,records,nodes,round,action,modelMs,visibleMs,layoutMs,totalMs
ad66e4a,wide,3900,3940,0,switch-back,64.6489930000007,4.545648999999685,95.1723349999993,164.36697699999968
before,wide,3900,3940,0,cold,65.66937899999903,4.495504000000437,7316.952395,7387.117278
before,wide,3900,3940,0,rebuild,29.236559999999372,3.7085339999994176,8145.144572000001,8178.089666
before,wide,3900,3940,0,switch-back,66.42471899999873,6.018231999998534,7234.020513000003,7306.463464
working,wide,3900,3940,0,cold,62.72098399999959,3.9244200000030105,2061.736091999999,2128.381496000002
working,wide,3900,3940,0,rebuild,28.5792719999954,3.6365680000017164,26.55434999999852,58.77018999999564
working,wide,3900,3940,0,switch-back,65.57542100000137,4.6190780000033556,27.537560999997368,97.7320600000021
ad66e4a,wide,3900,3940,1,cold,61.56815199999983,3.645837999996729,93.31681700000627,158.53080700000282
ad66e4a,wide,3900,3940,1,rebuild,30.039817999997467,3.639930999997887,69.7502930000046,103.43004199999996
ad66e4a,wide,3900,3940,1,switch-back,73.27422400000069,4.391753999996581,95.54733200000192,173.21330999999918
before,wide,3900,3940,1,cold,62.221111999999266,3.65554699999484,7267.569360000001,7333.446018999995
before,wide,3900,3940,1,rebuild,30.290117999997165,3.673414999997476,7970.311124,8004.2746569999945
before,wide,3900,3940,1,switch-back,67.33575000000565,3.9503479999984847,7137.191387999999,7208.477486000003
working,wide,3900,3940,1,cold,67.4685959999988,3.373208999997587,2068.422483000002,2139.2642879999985
working,wide,3900,3940,1,rebuild,29.266136999998707,3.354468999998062,26.995621000001847,59.61622699999862
working,wide,3900,3940,1,switch-back,66.78823700000066,3.387415000004694,32.14635399999679,102.32200600000215
ad66e4a,wide,3900,3940,2,cold,68.65877800000453,3.767390000000887,96.65597399999388,169.0821419999993
ad66e4a,wide,3900,3940,2,rebuild,29.915117999997165,4.339104000006046,70.34411899999395,104.59834099999716
ad66e4a,wide,3900,3940,2,switch-back,62.425861999996414,3.326980999998341,94.24693400000251,159.99977699999727
before,wide,3900,3940,2,cold,63.111650999999256,3.9532859999962966,7386.964658000004,7454.029595
before,wide,3900,3940,2,rebuild,29.24228099999891,3.888444000011077,7671.006064000001,7704.136789000011
before,wide,3900,3940,2,switch-back,66.46972600001027,3.2976939999934984,7179.644046999994,7249.411466999998
working,wide,3900,3940,2,cold,62.81738100000075,3.4474929999996675,2055.3802619999915,2121.645135999992
working,wide,3900,3940,2,rebuild,43.67351100000087,5.863608999992721,27.15521900000749,76.69233900000108
working,wide,3900,3940,2,switch-back,69.83202200000233,5.235464999990654,28.57855500000005,103.64604199999303
ad66e4a,deep,1000,1111,0,cold,46.16399799998908,1.2706430000107503,44.41322699999728,91.8478679999971
ad66e4a,deep,1000,1111,0,rebuild,12.439331000001403,1.2722389999980805,25.647989999997662,39.359559999997145
ad66e4a,deep,1000,1111,0,switch-back,43.39574599999469,1.5101430000067921,41.39723800000502,86.3031270000065
before,deep,1000,1111,0,cold,47.530251999996835,1.2850480000051903,2310.8566680000076,2359.6719680000097
before,deep,1000,1111,0,rebuild,23.020174999997835,1.4618069999996806,2205.1927930000093,2229.674775000007
before,deep,1000,1111,0,switch-back,56.643842999998014,2.536963000005926,2177.4493379999913,2236.630143999995
working,deep,1000,1111,0,cold,50.590840999997454,1.301804999995511,1545.2959300000075,1597.1885760000005
working,deep,1000,1111,0,rebuild,12.66065800000797,1.2960539999912726,7.873046000007889,21.829758000007132
working,deep,1000,1111,0,switch-back,48.99789800000144,1.531197999996948,8.619577999998,59.14867399999639
ad66e4a,deep,1000,1111,1,cold,46.57112500000221,1.7043439999979455,42.64388200000394,90.9193510000041
ad66e4a,deep,1000,1111,1,rebuild,11.755021999997552,1.2339219999994384,32.42923700000392,45.418181000000914
ad66e4a,deep,1000,1111,1,switch-back,48.26772699999856,1.2374139999883482,42.776872000002186,92.28201299998909
